Date,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NTPC IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity
2012-12-12,270.7,265.27,91.15,375.7,203.97,474.75,229.49,118.4,37.1,362.93,303.35,346.93,117.95,415.25,432.05,173.1,75.02,125.36,1873.65,1889.95,529.75,287.23,330.15,732.27,1476.0,34.23,127.67,405.05,809.9,154.07,65.95,126.64,202.4,281.1,135.65,612.9,273.57,587.08,1944.5,82.0,228.53,2056.55,247.03,526.01,172.05
2012-12-13,269.57,265.07,93.64,376.44,196.83,471.18,226.26,115.8,36.46,359.28,294.25,345.53,117.15,406.9,430.96,173.1,73.25,124.95,1851.95,1878.5,519.75,285.44,326.23,722.98,1474.15,33.03,125.5,409.65,811.45,155.29,66.52,125.38,203.86,286.42,130.7,611.28,284.84,566.65,1949.25,83.77,229.59,2083.65,247.98,523.32,168.05
2012-12-14,270.67,270.54,94.08,378.7,197.3,476.05,232.03,119.95,37.24,359.48,288.7,344.38,116.98,403.0,428.08,173.0,74.49,125.74,1830.05,1863.55,516.65,284.85,332.38,728.51,1477.25,33.48,127.33,422.0,812.85,157.73,65.39,125.49,206.55,281.6,135.65,621.45,289.0,565.23,1992.75,83.47,237.05,2081.4,249.33,524.13,168.75
2012-12-17,270.86,271.81,93.45,376.4,195.37,480.13,234.43,124.2,37.44,360.53,283.45,338.25,114.97,409.25,424.94,171.87,76.67,123.82,1844.3,1865.55,522.75,283.28,330.68,726.4,1499.65,34.82,128.75,425.7,811.55,158.24,65.45,125.62,208.02,270.87,143.25,602.75,290.93,548.42,1979.2,83.87,238.18,2107.3,248.83,531.14,165.65
2012-12-18,269.47,270.79,92.48,375.16,195.4,483.6,237.27,127.45,38.87,368.48,287.4,337.98,116.75,412.3,429.55,170.83,80.5,125.71,1839.0,1884.55,524.75,283.88,331.88,736.42,1475.35,35.13,129.54,429.6,812.95,158.19,65.87,125.02,208.9,282.45,142.65,605.33,295.18,548.45,2013.3,82.77,236.64,2095.55,246.93,538.99,165.2
2012-12-19,271.7,266.98,92.06,378.81,193.4,484.0,237.23,129.65,39.79,382.4,290.0,344.0,119.22,419.85,442.99,176.43,80.76,129.15,1852.75,1916.3,522.95,287.02,333.88,726.0,1509.75,36.25,128.96,433.75,814.4,160.36,65.36,126.32,207.05,284.84,145.25,616.33,304.48,553.92,2016.95,83.2,236.11,2143.05,248.83,539.48,165.15
2012-12-20,272.34,263.72,91.58,378.07,191.4,476.58,238.13,132.7,40.49,373.5,285.9,341.7,116.63,424.85,444.42,176.73,82.41,127.78,1845.8,1910.5,532.7,287.45,331.03,718.89,1520.15,33.68,128.38,432.7,806.35,159.88,65.14,126.28,207.21,285.61,140.0,626.03,301.66,559.58,2012.5,83.6,231.54,2112.8,247.83,538.62,162.95
2012-12-21,268.77,264.25,90.25,372.38,191.37,468.78,233.45,129.3,40.4,364.73,280.0,338.0,114.6,419.75,435.62,174.1,80.49,126.91,1821.0,1900.3,527.15,287.11,324.77,706.71,1504.9,33.92,127.63,427.2,795.65,157.49,64.52,123.71,204.35,277.0,135.65,629.35,296.22,537.75,1988.6,82.13,226.6,2089.15,245.23,535.75,160.85
2012-12-24,268.34,268.53,88.87,370.33,191.37,468.83,233.13,129.1,40.21,370.43,281.0,338.05,115.65,418.75,436.1,170.77,80.9,129.08,1822.35,1886.35,531.7,290.29,323.33,704.58,1478.9,34.13,128.58,424.9,799.45,159.11,64.35,127.62,203.91,278.13,135.35,633.1,303.69,532.83,1956.55,82.1,225.91,2106.35,246.1,529.2,160.65
2012-12-26,281.42,270.39,90.68,373.74,193.67,472.33,237.08,128.9,40.33,376.85,281.8,340.15,116.25,420.25,442.36,171.73,81.29,128.78,1818.85,1874.65,523.4,289.41,324.45,721.04,1480.1,33.9,129.42,421.0,803.65,158.61,64.86,131.22,208.85,286.06,136.4,631.1,302.85,529.4,1976.9,82.67,228.69,2146.0,249.83,528.93,160.15
