Date,MF,RF
13-04-2010,-0.101963617,0.010658836
15-04-2010,-0.413763512,0.021318809
16-04-2010,-0.460233199,0.011412327
19-04-2010,-1.346357845,0.034240888
20-04-2010,0.644383034,0.011412327
21-04-2010,0.475813773,0.011412327
22-04-2010,0.138057981,0.011412327
23-04-2010,1.25E-05,0.011197142
26-04-2010,0.141071061,0.033595188
27-04-2010,-0.046382167,0.011197142
28-04-2010,-1.55583517,0.011197142
29-04-2010,0.459602545,0.011197142
30-04-2010,0.747073926,0.011197142
03-05-2010,-0.697307666,0.033595188
04-05-2010,-1.551612558,0.011197142
05-05-2010,-0.275689948,0.011197142
06-05-2010,-0.273086231,0.011197142
07-05-2010,-1.696810825,0.011089618
10-05-2010,2.663971845,0.033272543
11-05-2010,-1.232643024,0.011089618
12-05-2010,0.118285641,0.011089618
13-05-2010,0.552181312,0.011089618
14-05-2010,-1.224874481,0.011197142
17-05-2010,-0.63023202,0.033595188
18-05-2010,0.075806027,0.011197142
19-05-2010,-2.576676073,0.011197142
20-05-2010,0.35830806,0.011197142
21-05-2010,-0.928849577,0.011304887
24-05-2010,0.420910264,0.033918495
25-05-2010,-2.851454671,0.011304887
26-05-2010,1.569417931,0.011304887
27-05-2010,1.229324108,0.011304887
28-05-2010,1.510427335,0.013453038
31-05-2010,0.984559098,0.040364542
01-06-2010,-1.699731774,0.013453038
02-06-2010,1.002163423,0.013453038
03-06-2010,1.321046463,0.013453038
04-06-2010,0.127693455,0.013881543
07-06-2010,-1.765381442,0.041650411
08-06-2010,-0.902667947,0.013881543
09-06-2010,0.47952527,0.013881543
10-06-2010,1.34238236,0.013881543
11-06-2010,0.313796829,0.01398876
14-06-2010,1.19352284,0.041972152
15-06-2010,0.612762095,0.01398876
16-06-2010,0.166597316,0.01398876
17-06-2010,0.556256833,0.01398876
18-06-2010,-0.392256339,0.014309901
21-06-2010,1.306596178,0.042935846
22-06-2010,-0.444313857,0.014309901
23-06-2010,0.394007529,0.014309901
24-06-2010,-0.167112534,0.014309901
25-06-2010,0.107356562,0.014309901
28-06-2010,1.407982095,0.042935846
29-06-2010,-1.037333785,0.014309901
30-06-2010,0.788764596,0.014309901
01-07-2010,-0.700014964,0.014309901
02-07-2010,-0.056343712,0.014095936
05-07-2010,-0.1507922,0.042293768
06-07-2010,0.691803862,0.014095936
07-07-2010,-0.580862591,0.014095936
08-07-2010,0.91744666,0.014095936
09-07-2010,0.725205202,0.014309121
12-07-2010,0.247321818,0.042933507
13-07-2010,0.365527491,0.014309121
14-07-2010,-0.326859386,0.014309121
15-07-2010,-0.242967715,0.014309121
16-07-2010,0.463002203,0.014415652
19-07-2010,-0.124967343,0.043253191
20-07-2010,-0.255641711,0.014415652
21-07-2010,0.699895281,0.014415652
22-07-2010,0.560776585,0.014415652
23-07-2010,-0.199419486,0.015271593
26-07-2010,-0.602884606,0.045821777
27-07-2010,0.208520104,0.015271593
28-07-2010,-0.313275903,0.015271593
29-07-2010,-0.292154481,0.015271593
30-07-2010,-0.34759926,0.015271593
02-08-2010,0.766375066,0.045821777
03-08-2010,0.255526228,0.015271593
04-08-2010,0.393482943,0.015271593
